Date,TTWO,AAPL,HSBA.L,SPY
2022-09-09,127.77999877929688,156.44190979003906,571.773586472168,400.0670166015625
2022-09-12,129.5399932861328,162.46617126464844,588.3581025421142,404.3667907714844
2022-09-13,127.0199966430664,152.93275451660156,572.0646419726563,386.7839050292969
2022-09-14,128.16000366210938,154.39407348632812,562.8086666870116,388.2597961425781
2022-09-15,128.42999267578125,151.47142028808594,570.788670791626,383.85174560546875
2022-09-16,124.19000244140625,149.81126403808594,568.3762466320801,380.92340087890625
2022-09-19,125.08000183105469,153.5689697265625,569.0880422241211,383.8774719238281
2022-09-20,121.69000244140625,155.9746856689453,571.1726186834717,379.47113037109375
2022-09-21,117.91999816894531,152.81346130371094,556.14410440979,372.8516845703125
2022-09-22,114.73999786376953,151.83924865722656,544.7157953466797,369.7198181152344
2022-09-23,110.36000061035156,149.5428466796875,519.9566193365479,363.52520751953125
2022-09-26,109.56999969482422,149.880859375,501.093947543335,359.928955078125
2022-09-27,109.9000015258789,150.86502075195312,500.01962721313475,359.0101318359375
2022-09-28,114.19000244140625,148.95631408691406,494.44684095245367,366.07415771484375
2022-09-29,108.58000183105469,141.63973999023438,488.1041231430054,358.42724609375
2022-09-30,109.0,137.38497924804688,490.1525266113282,352.88470458984375
2022-10-03,113.36000061035156,141.60992431640625,490.7984585888672,362.2012634277344
2022-10-04,116.58999633789062,145.23838806152344,519.6200634997558,373.4246826171875
2022-10-05,117.30000305175781,145.53660583496094,502.6946923278809,372.55523681640625
2022-10-06,121.37999725341797,144.5723419189453,494.59174887542724,368.7120666503906
2022-10-07,120.7300033569336,139.2638397216797,486.8224685055542,358.42724609375
2022-10-10,117.93000030517578,139.59188842773438,480.848079362793,355.6905517578125
2022-10-11,115.08999633789062,138.16036987304688,468.76404134033197,353.4379577636719
2022-10-12,116.55000305175781,137.52413940429688,468.405939458313,352.27215576171875
2022-10-13,118.86000061035156,142.146728515625,489.04671896362305,361.5690002441406
2022-10-14,117.81999969482422,137.5639190673828,482.01300983276366,353.32928466796875
2022-10-17,117.88999938964844,141.57015991210938,503.1983415344239,362.4087829589844
2022-10-18,121.29000091552734,142.90225219726562,495.64012241363525,366.66693115234375
2022-10-19,122.5,143.0115966796875,499.70172074218755,364.0685729980469
2022-10-20,123.88999938964844,142.54437255859375,499.2976607910156,361.0157470703125
2022-10-21,125.55000305175781,146.4014892578125,507.30856769897457,369.7889404296875
2022-10-24,123.11000061035156,148.56861877441406,503.62546761932373,374.31390380859375
2022-10-25,125.02999877929688,151.44158935546875,477.169252208252,380.2911376953125
2022-10-26,123.62000274658203,148.46922302246094,484.95471312499996,377.4259948730469
2022-10-27,122.73999786376953,143.94606018066406,489.2987808380127,375.4105529785156
2022-10-28,124.0199966430664,154.82154846191406,482.52765728759766,384.3418273925781
2022-10-31,118.4800033569336,152.43569946289062,482.0767626269531,381.5655517578125
2022-11-01,116.30999755859375,149.76156616210938,494.9470455328369,379.8959045410156
2022-11-02,113.55000305175781,144.17469787597656,488.90210972351076,370.3619689941406
2022-11-03,111.30000305175781,138.06097412109375,485.69511547119146,366.54840087890625
2022-11-04,108.52999877929688,137.7921142578125,523.7444846118165,371.82415771484375
2022-11-07,108.4000015258789,138.32981872558594,518.5648748547363,375.3808898925781
2022-11-08,93.56999969482422,138.90736389160156,519.1257641864014,377.4062194824219
2022-11-09,94.08999633789062,134.29702758789062,508.8431021951294,369.630859375
2022-11-10,98.56999969482422,146.2460479736328,521.9102778295899,389.9436340332031
2022-11-11,102.25,149.06402587890625,523.0953969671631,393.71771240234375
2022-11-14,99.87999725341797,147.65005493164062,530.666013546753,390.36846923828125
2022-11-15,101.02999877929688,149.40257263183594,535.1121534875488,393.6979064941406
2022-11-16,100.80999755859375,148.1578826904297,532.4059959869385,390.69451904296875
2022-11-17,99.66000366210938,150.07969665527344,536.5765514749145,389.4990539550781
2022-11-18,98.7699966430664,150.64727783203125,535.1011337872314,391.2675476074219
2022-11-21,97.43000030517578,147.38119506835938,537.2280753662109,389.8448181152344
2022-11-22,100.29000091552734,149.54196166992188,543.8285491143799,395.0909423828125
2022-11-23,103.1500015258789,150.42822265625,554.1549926953126,397.5806884765625
2022-11-24,103.1500015258789,150.42822265625,557.1448158264161,397.5806884765625
2022-11-25,102.62999725341797,147.48077392578125,559.1473565368652,397.49176025390625
2022-11-28,101.26000213623047,143.6072998046875,549.0254709442138,391.14892578125
2022-11-29,101.3499984741211,140.5702667236328,573.2028650097656,390.4771728515625
2022-11-30,105.69000244140625,147.40110778808594,577.4536238891602,402.7774353027344
2022-12-01,106.4000015258789,147.679931640625,572.9997771331788,402.48101806640625
2022-12-02,108.76000213623047,147.1820526123047,575.62531112854,402.01666259765625
2022-12-05,106.9800033569336,146.007080078125,572.7049945288086,394.7846984863281
2022-12-06,101.2699966430664,142.30287170410156,568.6419029101563,389.0939636230469
2022-12-07,99.48999786376953,140.34124755859375,566.3197959777832,388.4320373535156
2022-12-08,100.79000091552734,142.04397583007812,569.4629347485351,391.4749755859375
2022-12-09,102.05999755859375,141.55606079101562,571.7382646691894,388.5505676269531
2022-12-12,102.61000061035156,143.8761749267578,572.2096392755127,394.15240478515625
2022-12-13,104.55000305175781,144.85198974609375,581.0451168859863,397.1360778808594
2022-12-14,104.80999755859375,142.6016082763672,581.1288084741211,394.59698486328125
2022-12-15,101.66000366210938,135.92010498046875,563.8602660644531,384.9444885253906
2022-12-16,100.76000213623047,133.9385528564453,561.4083749847412,380.3997497558594
2022-12-19,98.58999633789062,131.80764770507812,565.9592135101318,377.1741027832031
2022-12-20,98.11000061035156,131.73794555664062,575.685266217041,377.6902160644531
2022-12-21,99.87999725341797,134.8745574951172,580.6118516235351,383.3376159667969
2022-12-22,99.2699966430664,131.66822814941406,579.5998916192627,377.8688659667969
2022-12-23,99.83000183105469,131.29981994628906,577.9654867126465,380.04248046875
2022-12-27,99.37999725341797,129.47760009765625,576.6944950195312,378.5437927246094
2022-12-28,99.69000244140625,125.5045394897461,584.9095167175293,373.83929443359375
2022-12-29,101.33999633789062,129.05938720703125,587.6950086456299,380.5684814453125
2022-12-30,104.12999725341797,129.3780059814453,586.1609125329591,379.5660705566406
2023-01-03,103.11000061035156,124.53865814208984,596.0057929595948,377.9681396484375
2023-01-04,106.7699966430664,125.82318878173828,615.7210524612426,380.8861389160156
2023-01-05,105.95999908447266,124.4888687133789,632.5809531738282,376.5389099121094
2023-01-06,104.75,129.0693359375,646.1283470947265,385.1737365722656
2023-01-09,105.0999984741211,129.59707641601562,644.8409054199218,384.95538330078125
2023-01-10,105.52999877929688,130.17462158203125,644.1056996844482,387.655029296875
2023-01-11,105.26000213623047,132.9228973388672,650.2411955444336,392.5580139160156
2023-01-12,104.29000091552734,132.84323120117188,667.5095452154541,393.98724365234375
2023-01-13,105.02999877929688,134.18748474121094,679.1778883422851,395.5157165527344
2023-01-16,105.02999877929688,134.18748474121094,683.0141684326172,395.5157165527344
2023-01-17,104.54000091552734,135.36248779296875,682.5729443005371,394.79119873046875
2023-01-18,103.22000122070312,134.63558959960938,685.3545008862304,388.5581970214844
2023-01-19,102.26000213623047,134.69532775878906,681.6819928741455,385.7295837402344
2023-01-20,106.58999633789062,137.28427124023438,690.3214609973145,392.91534423828125
2023-01-23,110.66999816894531,140.51052856445312,688.8375131835937,397.6297912597656
2023-01-24,111.2699966430664,141.92449951171875,689.3064201013184,397.2030029296875
2023-01-25,110.69999694824219,141.25733947753906,697.5937887872315,397.35186767578125
2023-01-26,111.88999938964844,143.34841918945312,704.3250394348144,401.7189025878906
2023-01-27,114.27999877929688,145.31004333496094,699.6258063720703,402.6419372558594
2023-01-30,112.66000366210938,142.39248657226562,698.7708242797852,397.590087890625
2023-01-31,113.2300033569336,143.677001953125,690.5833320703125,403.43597412109375
2023-02-01,112.25,144.81216430664062,699.2750406512451,407.72357177734375
2023-02-02,114.72000122070312,150.1792755126953,679.0258011254882,413.6588134765625
2023-02-03,109.27999877929688,153.8436279296875,675.9679218969727,409.26202392578125
2023-02-06,105.55999755859375,151.0854034423828,673.2647079101562,406.7608642578125
2023-02-07,113.8499984741211,153.9929962158203,684.9554053259277,412.0807189941406
2023-02-08,110.44999694824219,151.27459716796875,694.7895732476807,407.5747375488281
2023-02-09,110.87999725341797,150.22906494140625,701.5351305908202,404.0413818359375
2023-02-10,111.0999984741211,150.59803771972656,691.9668548583985,404.9842834472656
2023-02-13,111.37999725341797,153.43031311035156,700.123381237793,409.7383728027344
2023-02-14,112.08999633789062,152.78207397460938,696.9363732666015,409.5498352050781
2023-02-15,115.94999694824219,154.90626525878906,692.1957630126954,410.87982177734375
2023-02-16,112.5199966430664,153.29067993164062,697.0284158477783,405.22247314453125
2023-02-17,112.51000213623047,152.13385009765625,702.8153653259278,404.21014404296875
2023-02-20,112.51000213623047,152.13385009765625,702.3160377868652,404.21014404296875
2023-02-21,112.0199966430664,148.074951171875,737.0825489343263,396.101318359375
2023-02-22,111.23999786376953,148.50376892089844,720.1893900073243,395.555419921875
2023-02-23,110.37000274658203,148.992431640625,711.3115947265626,397.6595458984375
2023-02-24,109.30000305175781,146.30978393554688,713.4510633239746,393.4115905761719
2023-02-27,110.08000183105469,147.5164794921875,716.3185956848145,394.7514953613281
2023-02-28,109.55000305175781,147.00787353515625,718.0581022949218,393.2925109863281
2023-03-01,108.69999694824219,144.91360473632812,723.8734288330078,391.78387451171875
2023-03-02,115.27999877929688,145.51197814941406,715.4647543170166,394.8309020996094
2023-03-03,116.69999694824219,150.6179962158203,720.7598722631835,401.1631164550781
2023-03-06,115.70999908447266,153.41036987304688,718.897364500122,401.4410095214844
2023-03-07,116.87999725341797,151.1864471435547,714.7142129779053,395.2874450683594
2023-03-08,116.30999755859375,152.45297241210938,722.7980656292724,395.9325866699219
2023-03-09,112.95999908447266,150.17918395996094,716.8278825683593,388.627685546875
2023-03-10,110.58000183105469,148.0948944091797,689.8144660705566,383.02001953125
2023-03-13,111.33000183105469,150.0595245361328,669.9007406799316,382.47412109375
2023-03-14,113.80999755859375,152.17373657226562,678.7201268554687,388.7964172363281
2023-03-15,113.30999755859375,152.57264709472656,639.6162778234863,386.36474609375
2023-03-16,115.55000305175781,155.4248504638672,654.2626699096679,393.14361572265625
2023-03-17,116.27999877929688,154.57716369628906,638.8218190002442,388.54669189453125
2023-03-20,116.30999755859375,156.97061157226562,643.619884298706,392.2828063964844
2023-03-21,118.58999633789062,158.84548950195312,655.0221833203125,397.4336853027344
2023-03-22,113.55999755859375,157.39944458007812,670.4185700439452,390.6588439941406
2023-03-23,117.4800033569336,158.49644470214844,651.9530646057128,391.7149353027344
2023-03-24,118.12000274658203,159.81283569335938,632.1194635009766,394.285400390625
2023-03-27,116.9800033569336,157.84820556640625,643.2840721398926,395.02264404296875
2023-03-28,115.55000305175781,157.2199249267578,646.0231895141602,394.1359558105469
2023-03-29,116.66999816894531,160.3314208984375,660.2985662109376,399.8646545410156
2023-03-30,116.58999633789062,161.91708374023438,665.7500384899903,402.2059631347656
2023-03-31,119.30000305175781,164.4501495361328,656.1844763122559,407.8749084472656
2023-04-03,118.69000244140625,165.71669006347656,668.652221875,409.42913818359375
2023-04-04,121.63999938964844,165.1781768798828,666.9378875061035,407.1575927734375
2023-04-05,120.9800033569336,163.31326293945312,668.4221407653808,406.091552734375
2023-04-06,119.0,164.21083068847656,677.602224854126,407.6756591796875
2023-04-10,121.04000091552734,161.58798217773438,674.665579876709,408.0940856933594
2023-04-11,120.38999938964844,160.36134338378906,676.4287783203125,408.20367431640625
2023-04-12,119.68000030517578,159.66326904296875,678.5920855755616,406.53985595703125
2023-04-13,122.01000213623047,165.1083526611328,687.6869107086181,411.9398193359375
2023-04-14,123.06999969482422,164.7593231201172,702.0112145751954,410.93353271484375
2023-04-17,124.37999725341797,164.7792510986328,692.5645540667724,412.4080810546875
2023-04-18,124.30999755859375,166.01588439941406,690.9966361450196,412.67706298828125
2023-04-19,123.3499984741211,167.17271423339844,690.119702473755,412.6073303222656
2023-04-20,125.13999938964844,166.1953887939453,692.3994792681884,410.355712890625
2023-04-21,124.98999786376953,164.56983947753906,690.6251869390869,410.6745300292969
2023-04-24,127.79000091552734,164.8789825439453,692.7349807861328,411.1029357910156
2023-04-25,127.01000213623047,163.3232421875,680.1657373901367,404.5771484375
2023-04-26,121.5999984741211,163.31326293945312,689.8609580078124,402.8634948730469
2023-04-27,123.94999694824219,167.95059204101562,695.7849222363282,410.88372802734375
2023-04-28,124.29000091552734,169.2171173095703,697.6266917626953,414.39068603515625
2023-05-01,124.13999938964844,169.1273651123047,693.8278775,413.9722595214844
2023-05-02,121.62000274658203,168.08023071289062,716.7815454650879,409.3195495605469
2023-05-03,122.13999938964844,166.99319458007812,721.4831437805176,406.5099792480469
2023-05-04,120.27999877929688,165.3377227783203,710.6044466491699,403.63067626953125
2023-05-05,124.51000213623047,173.0965118408203,733.225899784546,411.1029357910156
2023-05-08,125.69000244140625,173.0266876220703,732.5350480590821,411.2124938964844
2023-05-09,124.5999984741211,171.30142211914062,731.8489944995117,409.4092102050781
2023-05-10,124.73999786376953,173.08653259277344,734.3205089794922,411.3221130371094
2023-05-11,125.56999969482422,173.27601623535156,730.9760215759278,410.6047668457031
2023-05-12,125.26000213623047,172.3372802734375,734.7100049560546,410.0667724609375
2023-05-15,125.06999969482422,171.8379669189453,753.4252335937499,411.48150634765625
2023-05-16,124.05000305175781,171.8379669189453,744.1712190527344,408.7317199707031
2023-05-17,125.0199966430664,172.45712280273438,741.1626114428711,413.69329833984375
2023-05-18,139.6300048828125,174.81393432617188,748.3118591674804,417.6784973144531
2023-05-19,137.42999267578125,174.92379760742188,748.1285861572266,417.07073974609375
2023-05-22,137.25,173.96507263183594,755.3235861035156,417.2401428222656
2023-05-23,135.77999877929688,171.32864379882812,754.9267570092773,412.5575256347656
2023-05-24,135.83999633789062,171.60826110839844,730.4192228759765,409.568603515625
2023-05-25,136.72999572753906,172.7567138671875,735.2785077941894,413.1154479980469
2023-05-26,138.97999572753906,175.19342041015625,742.092576027832,418.4655456542969
2023-05-30,138.27999877929688,177.06089782714844,733.1445022045898,418.6249694824219
2023-05-31,137.72999572753906,177.01097106933594,722.9215180499268,416.3036193847656
2023-06-01,137.58999633789062,179.84713745117188,731.9470208129883,420.2589111328125
2023-06-02,137.52000427246094,180.7059783935547,738.3853797912598,426.3363342285156
2023-06-05,136.72000122070312,179.33782958984375,741.6797717871093,425.5193786621094
2023-06-06,135.67999267578125,178.9683380126953,746.5173802661133,426.4459228515625
2023-06-07,132.25,177.5802001953125,754.2562926269532,424.97137451171875
2023-06-08,133.1199951171875,180.3264923095703,755.2654963769531,427.5418701171875
2023-06-09,134.02999877929688,180.71597290039062,751.9436789721681,428.3089904785156
2023-06-12,136.0,183.54214477539062,745.3181420880127,432.1945495605469
2023-06-13,136.47000122070312,183.0627899169922,756.6310107385254,435.0439758300781
2023-06-14,136.6300048828125,183.70193481445312,761.1985921545411,435.5620422363281
2023-06-15,137.1999969482422,185.7591552734375,766.6336872814942,440.9620056152344
2023-06-16,138.63999938964844,184.67062377929688,771.9110713195801,439.4599914550781
2023-06-19,138.63999938964844,184.67062377929688,774.4655114318847,439.4599914550781
2023-06-20,139.02999877929688,184.760498046875,772.8402146026611,437.17999267578125
2023-06-21,140.4600067138672,183.71192932128906,776.6657901495362,434.94000244140625
2023-06-22,141.17999267578125,186.74781799316406,760.9798019244384,436.510009765625
2023-06-23,141.85000610351562,186.42823791503906,753.5098498535157,433.2099914550781
2023-06-26,143.50999450683594,185.02015686035156,755.7623699999999,431.44000244140625
2023-06-27,146.33999633789062,187.80638122558594,765.717440460205,436.1700134277344
2023-06-28,145.97999572753906,188.99478149414062,762.7507030181885,436.3900146484375
2023-06-29,145.47000122070312,189.33432006835938,768.0012737670899,438.1099853515625
2023-06-30,147.16000366210938,193.7084197998047,776.7039935644531,443.2799987792969
2023-07-03,147.72999572753906,192.20046997070312,783.8278507910156,443.7900085449219
2023-07-04,147.72999572753906,192.20046997070312,781.5525797680664,443.7900085449219
2023-07-05,145.0399932861328,191.0719757080078,777.5108673327636,443.1300048828125
2023-07-06,142.8800048828125,191.55133056640625,765.2842657305908,439.6600036621094
2023-07-07,143.19000244140625,190.4228515625,770.5583829345703,438.54998779296875
2023-07-10,143.94000244140625,188.35565185546875,768.0703828540038,439.6600036621094
2023-07-11,150.75,187.8263702392578,764.6881670654296,442.4599914550781
2023-07-12,149.9199981689453,189.5140838623047,787.1285792138672,446.0199890136719
2023-07-13,149.2899932861328,190.2830352783203,793.8311772576905,449.55999755859375
2023-07-14,150.0,190.43284606933594,789.8688227600097,449.2799987792969
2023-07-17,152.7100067138672,193.7283935546875,795.0311137902833,450.8399963378906
2023-07-18,153.5500030517578,193.46873474121094,800.2529823931884,454.19000244140625
2023-07-19,152.00999450683594,194.83689880371094,800.6261258789064,455.20001220703125
2023-07-20,151.63999938964844,192.8695526123047,810.4644390637208,452.17999267578125
2023-07-21,149.9600067138672,191.68116760253906,812.1693614709473,452.17999267578125
2023-07-24,150.27999877929688,192.4900665283203,811.2140952856445,454.20001220703125
2023-07-25,151.02999877929688,193.35888671875,818.0723063763428,455.44000244140625
2023-07-26,150.25,194.23770141601562,820.5507299865723,455.510009765625
2023-07-27,149.85000610351562,192.9594268798828,808.8884430175781,452.489990234375
2023-07-28,151.60000610351562,195.56591796875,817.7005460559081,456.9200134277344
2023-07-31,152.94000244140625,196.18507385253906,816.4958463867188,457.7900085449219
2023-08-01,151.7899932861328,195.34620666503906,824.2536569274902,456.4800109863281
2023-08-02,147.22000122070312,192.32029724121094,796.840890916748,450.1300048828125
2023-08-03,145.75,190.91220092773438,799.5296771411133,448.8399963378906
2023-08-04,142.17999267578125,181.7445831298828,798.3262909423828,446.80999755859375
2023-08-07,141.17999267578125,178.6088104248047,810.2169766845703,450.7099914550781
2023-08-08,140.13999938964844,179.55752563476562,795.9744873034667,448.75
2023-08-09,139.39999389648438,177.94970703125,796.0842,445.75
2023-08-10,138.4600067138672,177.72999572753906,801.07264,445.9100036621094
2023-08-11,140.1999969482422,177.7899932861328,793.1211045043946,445.6499938964844
2023-08-14,142.3800048828125,179.4600067138672,788.254665,448.1099853515625
2023-08-15,139.50999450683594,177.4499969482422,762.3629754974365,442.8900146484375
2023-08-16,140.27000427246094,176.57000732421875,750.8507724597168,439.6400146484375
2023-08-17,138.0800018310547,174.0,755.0908431188965,436.2900085449219
2023-08-18,137.4600067138672,174.49000549316406,743.3047310791015,436.5
2023-08-21,139.55999755859375,175.83999633789062,743.9933014300537,439.3399963378906
2023-08-22,140.47999572753906,177.22999572753906,739.0515149230957,438.1499938964844
2023-08-23,144.5500030517578,181.1199951171875,743.7135364758301,443.0299987792969
2023-08-24,139.66000366210938,176.3800048828125,742.4957182287598,436.8900146484375
2023-08-25,141.4199981689453,178.61000061035156,739.1349726501466,439.9700012207031
2023-08-28,140.8000030517578,180.19000244140625,740.6044726196288,442.760009765625
2023-08-29,141.38999938964844,184.1199951171875,753.1435254333496,449.1600036621094
2023-08-30,141.8300018310547,187.64999389648438,751.2522755249024,451.010009765625
2023-08-31,142.1999969482422,187.8699951171875,738.8751340637207,450.3500061035156
2023-09-01,141.8300018310547,189.4600067138672,740.4108326367187,451.19000244140625
2023-09-04,141.8300018310547,189.4600067138672,739.6544965869141,451.19000244140625
2023-09-05,141.17999267578125,189.6999969482422,738.1878750000001,449.239990234375
2023-09-06,140.97000122070312,182.91000366210938,731.6074257415771,446.2200012207031
2023-09-07,142.22999572753906,177.55999755859375,729.1793852233887,444.8500061035156
2023-09-08,142.77000427246094,178.17999267578125,728.4546304321289,445.5199890136719
